Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Chircop J., Collins D.W., Hass L.H., Nguyen N.Q.","55532014800;7403253898;48761138300;57219198785;","Accounting comparability and corporate innovative efficiency",2020,"Accounting Review","95","4",,"127","151",,1,"10.2308/ACCR-52609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091633402&doi=10.2308%2fACCR-52609&partnerID=40&md5=9643c5c42d490cf2f5b73e86db1526e8","Lancaster University, United Kingdom; University of Iowa, United States; Colorado State University, United States","Chircop, J., Lancaster University, United Kingdom; Collins, D.W., University of Iowa, United States; Hass, L.H., Lancaster University, United Kingdom; Nguyen, N.Q., Colorado State University, United States","We predict that a firm's greater accounting comparability with its industry peers facilitates its learning from those peer firms' research and development (R&D) investments, allowing that firm to have greater innovative efficiency. We estimate accounting comparability using pro forma capitalized R&D earnings that link lagged R&D expenditures to future profitability employing the Almon (1965) distributed lag model. We find that greater accounting comparability leads to enhanced ability to predict future cash flows generated by R&D investments of peer firms. In the cross-section, we observe that the relation between accounting comparability and innovative efficiency is stronger if peer firms exhibit higher accounting (accrual) quality and are themselves successful innovators. In sum, this study shows that a shared qualitative characteristic of accounting, namely, accounting comparability, is positively associated with innovative efficiency. © 2020 American Accounting Association. All rights reserved.","Accounting comparability; Innovative efficiency; Peer firms; R&D investments",,Article,"Final","",Scopus,2-s2.0-85091633402
"Bertomeu J., Ma P., Marinovic I.","16308634500;56549443300;55841775600;","How often do managers withhold information?",2020,"Accounting Review","95","4",,"73","102",,,"10.2308/ACCR-52619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091631158&doi=10.2308%2fACCR-52619&partnerID=40&md5=c944369d0f63050b65ec62436a6da32b","University of California, San Diego, United States; University of Minnesota, United States; Stanford University, United States","Bertomeu, J., University of California, San Diego, United States; Ma, P., University of Minnesota, United States; Marinovic, I., Stanford University, United States","We estimate a dynamic model of voluntary disclosure, using annual management forecasts of earnings, that features a manager with price motives and an uncertain, but persistent, information endowment. Our estimates imply that: (1) managers face disclosure frictions 35 percent of the time; (2) conditional on being informed, managers withhold information 17 percent of the time; and (3) conditional on being silent, managers possess information 24 percent of the time. Managers' strategic withholding motives increase investors' uncertainty about earnings by 3 percent. We find that managers' price motives reduce strategic withholding by one-third in response to investors' increased skepticism in the event of non-disclosure. © 2020 American Accounting Association. All rights reserved.","Disclosure cost; Information endowment; Management forecasts; Strategic withholding; Structural estimation; Voluntary disclosure",,Article,"Final","",Scopus,2-s2.0-85091631158
"Hecht G., Hobson J.L., Wang L.W.","7006773315;8673282300;57061024900;","The effect of performance reporting frequency on employee performance",2020,"Accounting Review","95","4",,"199","218",,,"10.2308/ACCR-52601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091630874&doi=10.2308%2fACCR-52601&partnerID=40&md5=5577b0e80b7cf03cfc889de25c0d3290","University of Illinois at Urbana-Champaign, United States","Hecht, G., University of Illinois at Urbana-Champaign, United States; Hobson, J.L., University of Illinois at Urbana-Champaign, United States; Wang, L.W., University of Illinois at Urbana-Champaign, United States","Conventional wisdom suggests that frequent performance reporting is beneficial for decision making, as it can enhance timeliness and usefulness of the reported information for decision making. We investigate a potential motivational cost of frequent performance reporting. Using goal orientation theory, we predict and find that frequent performance reporting has negative motivational and performance implications when employees know or assume that the information they report will be used to evaluate their task-related skill. Our theory and results suggest that organizations need to balance the informational benefits and motivational costs of frequent reporting when designing their performance reporting systems. In addition, our theory and results can help organizations begin to design solutions that take advantage of the informational advantage of frequent reporting while minimizing its motivational costs. © 2020 American Accounting Association. All rights reserved.","Avoidance orientation; Goal orientation; Learning orientation; Performance evaluation; Reporting frequency",,Article,"Final","",Scopus,2-s2.0-85091630874
"Madsen J.M., McMullin J.L.","57193275234;55949883700;","Economic consequences of risk disclosures: Evidence from crowdfunding",2020,"Accounting Review","95","4",,"331","363",,,"10.2308/ACCR-52641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091626359&doi=10.2308%2fACCR-52641&partnerID=40&md5=006703d98d742f1819c460a26068de42","University of Minnesota, United States; Indiana University, United States","Madsen, J.M., University of Minnesota, United States; McMullin, J.L., Indiana University, United States","On September 20, 2012, the rewards-based crowdfunding platform Kickstarter.com added a ''risks and challenges'' section to all project pages. While the section header became a mandatory part of the platform, discussion of risks within that section is voluntary and unverified, making this setting particularly useful for identifying the effects of disclosure on both crowdfunders and entrepreneurs. Consistent with increased salience of risks, we find that backer support for high-risk projects decreases after the introduction of this section, but that lengthier risk disclosures mitigate this decrease in backer support. Further analysis reveals that creators who provide lengthier risk disclosures also increase other non-risk disclosures, and that these non-risk disclosures are primarily responsible for the increased backer support. Collectively, we provide evidence that the introduction of a voluntary and unverified risk disclosure reduced information asymmetry within this unregulated market. © 2020 American Accounting Association. All rights reserved.","Crowdfunding; Disclosure; Information asymmetry; Risk disclosures; Salience",,Article,"Final","",Scopus,2-s2.0-85091626359
"Klein A., Speckbacher G.","57219200934;6507802876;","Does using accounting data in performance evaluations spoil team creativity? The role of leadership behavior",2020,"Accounting Review","95","4",,"313","330",,2,"10.2308/ACCR-52602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086782186&doi=10.2308%2fACCR-52602&partnerID=40&md5=1f89577e36f738b33662bf5fd7a4f452","Vienna University of Economics and Business, Austria","Klein, A., Vienna University of Economics and Business, Austria; Speckbacher, G., Vienna University of Economics and Business, Austria","Organizations frequently use teams for creative problem-solving. Evaluating the performance of creative teams based on customer-related accounting data, such as client satisfaction measures, revenues, or profits, clarifies which kind of creativity is expected from the team and potentially makes the creative process more effective. However, the use of such accounting data in performance evaluations may amplify the tensions between the artistic merit and the commercial success of creative ideas and, thus, create conflicts that undermine team creativity. We argue that it depends on the team leader's leadership style whether the negative or positive effects of using customer-related data in performance evaluations on team creativity will prevail. If the team leader shows a leadership style that helps team members internalize the values and standards underlying the employed performance measures, then negative conflict inside the team is avoided and the positive effects of using customer-related data in performance evaluations can be realized. © 2020 American Accounting Association. All rights reserved.","Customer-related accounting data; Performance evaluation; Team creativity; Transformational-charismatic leadership",,Article,"Final","",Scopus,2-s2.0-85086782186
"Hemmer T.","6603506996;","Income smoothing as rational equilibrium behavior? a second look",2020,"Accounting Review","95","5",,"211","226",,1,"10.2308/TAR-2017-0132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095848866&doi=10.2308%2fTAR-2017-0132&partnerID=40&md5=a437a46f0053e28631c59cb787bb62ae","Rice University, United States","Hemmer, T., Rice University, United States","In this paper I revisit the issue of real income smoothing in the setting used by Lambert (1984). I demonstrate that the particular effect identified in his paper is actually an error: Under his assumptions, there is no input-driven equilibrium income smoothing of the type he suggests. There are, however, several other drivers of equilibrium behavior ignored in that paper. In this paper, I identify those and, for the particular model structure, show that when all effects are considered together, there is little support for the suggestion that second-best earnings generally are being smoothed through the equilibrium behavior. © 2020 American Accounting Association. All rights reserved.","Agency theory; Income smoothing; Multi-period contracts",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85095848866
"Huang S., Roychowdhury S., Sletten E.","57103970700;56235306100;43462262000;","Does litigation deter or encourage real earnings management?",2020,"Accounting Review","95","3",,"251","278",,3,"10.2308/ACCR-52589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093530419&doi=10.2308%2fACCR-52589&partnerID=40&md5=77bc6ae545af88ac77728557bc39d6e6","Singapore Management University, Singapore; Boston College, United States; Ohio State University, United States","Huang, S., Singapore Management University, Singapore; Roychowdhury, S., Boston College, United States; Sletten, E., Ohio State University, United States","In this paper, we rely on an exogenous shock to examine the impact of litigation risk on real earnings management (REM). We conduct difference-in-differences tests centered on an unanticipated court ruling that reduced litigation risk for firms headquartered in the Ninth Circuit. REM increases significantly following the ruling for Ninth Circuit firms relative to other firms, consistent with litigation risk deterring REM. Additional analyses reveal that REM rises more following the ruling when firms issue more optimistic disclosures. The evidence is consistent with litigation deterring REM by constraining managers' ability to issue optimistic and misleading disclosures that can conceal the myopic and opportunistic motives underlying REM. We further document that an increase in REM in response to a decline in litigation risk is more pronounced when managers have higher incentives to manipulate earnings and governance mechanisms are weaker. © 2020 American Accounting Association. All rights reserved.","Corporate governance; Deterrence; Earnings management; Litigation; Real earnings management",,Review,"Final","All Open Access, Green",Scopus,2-s2.0-85093530419
"Gonzalez G.C., Hoffman V.B., Moser D.V.","55312041100;7003393759;7101785562;","Do effort differences between bonus and penalty contracts persist in labor markets?",2020,"Accounting Review","95","3",,"205","222",,,"10.2308/ACCR-52655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093523023&doi=10.2308%2fACCR-52655&partnerID=40&md5=80de79d2eeffec22264bb409a24460aa","University of Lethbridge, Canada; University of Pittsburgh, United States","Gonzalez, G.C., University of Lethbridge, Canada; Hoffman, V.B., University of Pittsburgh, United States; Moser, D.V., University of Pittsburgh, United States","Conventional economics assumes workers provide the same effort under penalty contracts and economically equivalent bonus contracts. However, prior research finds that although workers prefer bonus contracts, they provide more effort under penalty contracts. Given these findings, the prevalence of bonus contracts in practice is puzzling. If penalty contracts yield more worker effort, why would employers not use them more often? We conduct experimental labor markets to test whether the prior finding of more effort under penalty contracts than bonus contracts (i.e., the contract frame effect) persists when workers can choose their contract and know that their employer intentionally offered the contract they choose. As predicted, these features of labor markets eliminate the difference in effort between penalty and bonus contracts reported in prior studies. This finding suggests employers may use bonus contracts more often than penalty contracts because they can offer the contract most workers prefer without sacrificing worker effort. © 2020 American Accounting Association. All rights reserved.","Bonus and penalty contracts; Choice; Effort; Endogeneity; Framing; Labor market; Loss aversion",,Article,"Final","",Scopus,2-s2.0-85093523023
"Austin C.R., Bobek D.D., LaMothe E.G.","57193551596;8051361000;57217953717;","The effect of temporary changes and expectations on individuals' decisions: Evidence from a tax compliance setting",2020,"Accounting Review","95","3",,"33","58",,1,"10.2308/ACCR-52525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093518134&doi=10.2308%2fACCR-52525&partnerID=40&md5=5c2ea1c612fbe26d262c5bab4236a682","University of South Carolina, United States; University of Central Florida, United States","Austin, C.R., University of South Carolina, United States; Bobek, D.D., University of South Carolina, United States; LaMothe, E.G., University of Central Florida, United States","Based on prospect theory's value function, we predict how reference points adapt to influence individuals' tax evasion choices during and after experiencing temporary tax changes. Results from a multi-round experiment indicate reactions to temporary changes depend jointly on the direction of the change and expectations. Specifically, individuals experiencing a tax increase evade more while the increase is in effect. More interestingly, knowing, versus not knowing, a tax decrease is temporary prevents an increase in evasion after the temporary change expires, and may lead individuals to reduce evasion during the change. In a supplemental condition, we induce uncertainty by repeatedly extending a tax decrease. We find when uncertainty is introduced, both benefits of knowing the temporal nature of the decrease are lost. Overall results are consistent with individuals failing to adapt to a loss state and adapting quickly to a gain state unless they are certain the gain state is temporary. © 2020 American Accounting Association. All rights reserved.","Expectations; Prospect theory; Reference point adaptation; Tax evasion; Temporary tax changes",,Review,"Final","All Open Access, Green",Scopus,2-s2.0-85093518134
"Bhat G., Desai H.A.","15069301500;57220501397;","Bank capital and loan monitoring",2020,"Accounting Review","95","3",,"85","114",,,"10.2308/ACCR-52587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093505051&doi=10.2308%2fACCR-52587&partnerID=40&md5=acb57708f2dfa234905735d436f1ceaf","Southern Methodist University, United States","Bhat, G., Southern Methodist University, United States; Desai, H.A., Southern Methodist University, United States","This paper empirically examines the association between bank capital and banks' monitoring effort. We use four proxies to measure the unobservable monitoring effort. Two of the proxies are based on loan quality (ex post outcomes of monitoring effort). The other two proxies are based on salary expense (ex ante proxies intended to capture the quality and quantity of labor input into monitoring effort). Using a bank and time fixed effects estimation, we find a positive association between bank capital and each of our measures of monitoring effort. We find that this association is more pronounced for smaller banks and banks that engage in higher levels of relationship lending. Numerous additional tests and robustness checks, including matched sample analysis and instrumental variable approach to address endogeneity, confirm our main findings. Overall, our evidence is consistent with the prediction in Mehran and Thakor (2011) that banks that keep higher capital monitor more. © 2020 American Accounting Association. All rights reserved.","Bank capital; Bank monitoring; Loan quality",,Review,"Final","",Scopus,2-s2.0-85093505051
"Dambra M.J., Gustafson M., Quinn P.J.","55357152100;56454053200;57195314246;","Tax-advantaged trust use among IPO executives: Determinants and implications for valuation and future performance",2020,"Accounting Review","95","3",,"145","175",,2,"10.2308/ACCR-52590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093502766&doi=10.2308%2fACCR-52590&partnerID=40&md5=5498e0e7f6439a92714496dc5aa5fa26","University at Buffalo, SUNY, United States; Pennsylvania State University, United States; University of Washington, United States","Dambra, M.J., University at Buffalo, SUNY, United States; Gustafson, M., Pennsylvania State University, United States; Quinn, P.J., University of Washington, United States","We examine the prevalence and determinants of CEOs' use of tax-advantaged trusts prior to their firm's IPO. Twenty-three percent of CEOs use tax-advantaged pre-IPO trusts, and share transfers into tax-advantaged trusts are positively associated with CEO equity wealth, estate taxes, and dynastic preferences. We project that pre-IPO trust use increases CEOs' dynastic wealth by approximately $830,000, on average. We next examine a simple model's prediction that trust use will be positively related to IPO-period stock price appreciation. We find that trust use is associated with 12 percent higher one-year post-IPO returns, but is not significantly related to the IPO's valuation, filing price revision, or underpricing. This evidence is consistent with CEOs' personal finance decisions prior to the IPO containing value-relevant information that is not immediately incorporated into market prices. © 2020 American Accounting Association. All rights reserved.","CEO private information; Initial public offering; Post-IPO performance; Tax-advantaged trusts; Taxes",,Article,"Final","",Scopus,2-s2.0-85093502766
